reg_no,chassis_no,engine_no,fuel_type,maker_class,maker_model,reg_date,reg_auth,aadhaar
OR52ND1476,6GSY7RSPOMFHWU9HG,807EBC55IAQZ87130,elec,Chevrolet,Corvette,5/5/1962,VF02,977208000000
OB34SV1893,0C05FITQPZJP6QFL2,796FCX05OTOW06746,elec,Chevrolet,Corvette,12/1/2007,GG94,983516000000
YC15NI9289,8QSTNHS8QYF42Q5TU,025NDS56QZYG05132,elec,Chevrolet,Silverado 1500,8/7/1972,XN89,989119000000
IV03QP3684,RHNJDWP0432VJEGLU,078YDJ37ZRUR49337,diesel,Chevrolet,Suburban 2500,18/07/2018,MS68,990229000000
HG56VL2825,B2CSJXZBF0YEACEW6,603LYR52XCWB07973,cng,Chevrolet,Corvette,28/03/1980,FY87,996071000000
MC11PN7106,4J14AZ6IC4G3PR5IH,732BQK15PYEP08762,diesel,Chevrolet,Monte Carlo,6/6/1985,TC91,996326000000
JA79BT8883,U03HN0A5QG0OO86B1,486UXY32BIYP04938,elec,Chrysler,300M,1/4/1986,GM52,107702000000
NV10YC7329,PEE9KFLGMAODN7FRK,086UKJ13QRPH66670,diesel,Chrysler,Prowler,12/4/2009,SA57,118699000000
CY02YC3264,WWCEQ078TLIJS2IOG,304KTQ81NHCQ18956,diesel,Chrysler,LHS,15/11/1966,IZ61,119425000000
DV51HM1412,5AZ439UM47IEP0LYS,847UOF01YGNN65985,elec,Chrysler,PT Cruiser,23/05/2016,US45,256327000000
IY42EW2087,QRQJCY0HBXWOY8G7L,682EQR22OFGE19933,petrol,Chrysler,Imperial,12/2/1985,IO81,259681000000
WW76OZ8527,NZK07WDG51GO0NBQA,228CSN60WNRQ59723,petrol,Chrysler,PT Cruiser,2/8/1994,KJ72,445963000000
YK41NW4670,X0S3XV30Y0YWPFWEB,663YCS83GYKH39186,cng,Chrysler,Town & Country,30/05/1974,EI85,589055000000
HG93RH5624,2VHFL6PAU1KB9VUHP,119JSF88PMUK16655,diesel,Chrysler,Sebring,29/01/1950,ZC90,670527000000
KY22SZ4524,KAWS4N9WHIUMW3X1Q,589EUR94NVTP28289,cng,Chrysler,Town & Country,3/1/1977,HG04,683529000000
RZ27BS3215,DPXZ4IIAD6EPXX1SA,708KIT18XYRM88427,diesel,Chrysler,Crossfire,21/01/1993,OZ27,688597000000
OK46XI9124,KWL3G62GTZL1SQNG3,726HJA83LQIX27886,cng,Chrysler,Sebring,23/09/1961,CT19,775387000000
YY33QT0890,HVLAW522ALZP45S7L,685USR19MQWC86980,elec,Chrysler,Concorde,25/03/1962,OS26,819684000000
CS34EV6743,KI9BBFZP5QT9Y6TSA,392PBD63ATOJ86116,cng,Chrysler,300,20/09/1973,ZT44,880405000000
LW25OJ0499,0R4CTM3Y7MVFQXNO0,220DTX25QPFR11967,elec,Citroën,SM,19/04/2007,QQ43,186287000000
WA30FA8846,WQN4LYRU0P4I9VPD6,561WLO60VIUN69836,elec,Daewoo,Nubira,7/6/1992,WI48,627880000000
QM36JK7455,ET5YCRR6SP7OAZJQ0,571FJX61FDBG08252,diesel,Daewoo,Lanos,23/04/1982,GF95,803233000000
VV54FP7155,EO4J8KLJM2IXV1F1Q,818CNI33FMEO44323,petrol,Dodge,Ram Van 3500,5/2/1965,EO80,111551000000
IE20GL4902,B5IENY4N5B6C0C1LX,008RDA37DROV68222,diesel,Dodge,Caravan,5/5/1986,VT20,116883000000
BX91LG1797,105GB1KKTW03YZNWZ,965NUL02RLQM50773,elec,Dodge,Ram 1500,21/09/2002,KY77,124074000000
SO36FW3956,FI3STO14K5WG2ZFZG,341UQC68CBDW76204,petrol,Dodge,Sprinter,23/07/1974,TR63,125166000000
PE98UT8885,8VFDUJDD2LNRMXLB4,801GSN56SFCR52281,petrol,Dodge,Sprinter,18/07/1946,KZ99,126786000000
OZ18HZ9882,D21I4X1US7WLQ2BMI,182GRD42TUWB41369,petrol,Dodge,Ram 2500,21/01/1982,LF67,137564000000
QG98PC5976,V7EL0U6NLTEHKZJ9C,232KIH43IENU31533,cng,Dodge,Durango,5/1/1956,KI77,153755000000
OM82UC6084,03P53AE7JJH9N394Z,848DFF62NXWC62788,petrol,Dodge,Ram Van B250,9/12/1955,IQ04,173138000000
ZM20SD7274,PBJ0RD7ZQLQYAI0PP,998POH85ATAE25977,elec,Dodge,Monaco,4/2/1962,DW18,186913000000
TG40MV9046,QQ8VI3CWP9SEQU036,574KWU46KQBG65358,petrol,Dodge,Ram 2500,29/01/2018,UZ54,203604000000
ID62CW4932,FQFP21VRY9YUGGC8M,905EDU61QBLY59678,diesel,Dodge,Ram Van 2500,24/09/2013,LU12,213137000000
GM80MP1221,2PPIYCWFUWFSUYQDM,022RIP29DVES34853,elec,Dodge,Intrepid,13/12/1967,DQ41,213504000000
JE09VF9705,19Y1KKLQ9XE2U6JOW,658VQS34RXXJ71684,elec,Dodge,Ram 3500,27/05/1954,IU69,246672000000
GY40NM9982,4ROGLISAA5AUHEDW7,138CQY81NOLH68998,diesel,Dodge,Ram Van 2500,23/05/1991,RP43,289381000000
BD98MR6095,JW3NSHHU45WU7TF9C,959SXE10OXZM26804,cng,Dodge,Ram Van B250,1/6/1999,TI89,299219000000
FB22UH8942,4BM6WRPZR2MFD4RUS,555XJZ28SMCX38040,elec,Dodge,Ram 1500,15/06/1988,OD35,303349000000
LS71XZ7702,L6MKSCTZU0DJVU3FX,915RLU57ZNRA27641,diesel,Dodge,Ram 3500,27/11/2019,LN26,314779000000
IS12MM6475,NLO2XN9JH6Q9H19YL,068ZWO46OAUD10611,diesel,Dodge,Ram Wagon B250,17/06/1985,IF84,335123000000
KR14SP8333,9JJM4IAJK2J9J3P1W,744FDA52IWXG54857,cng,Dodge,Viper,6/7/1957,ZQ50,373469000000
JH66FX8805,VF3KJ4D0Z4FHGCYG7,428DXU40JMVU74280,diesel,Dodge,Ram Wagon B150,11/11/1992,XS51,418221000000
NI97BZ5844,7E849RHMGNPIH0ELO,027UIS11NLYA12420,elec,Dodge,Ram Van 1500,3/6/1958,BI49,431922000000
OT35GF2798,UUSDEDIQCE5LZMGPU,926WEQ68BLON82903,elec,Dodge,Ram 3500,30/11/1985,LB92,471178000000
VV06BK2678,9DL5FESW746AO8SU1,827VGS48KKVJ37281,diesel,Dodge,Dakota Club,26/12/1956,CE56,509314000000
OQ02ET2086,2CWSQQULAWSA6K1A1,245VDD71XVAG10027,diesel,Dodge,Ram 1500,9/2/1991,MO06,590843000000
PU26DV0404,N4NUX92HS14C4JEVC,907WEH34ERXE31199,petrol,Dodge,Challenger,10/12/1998,RW66,652456000000
UF50MR4109,RFULZJ1A0SWYWKLDA,753CHV56RRCZ34723,diesel,Dodge,Challenger,6/6/1957,LP27,661742000000
AR74NF4550,JHTB34NTPI6RDKUCM,235VPX72CIOW18954,diesel,Dodge,Grand Caravan,17/01/1959,NX55,692291000000
YZ93VA8813,ZN46JYTR8C0ACNL65,499CGB70QHKG54448,diesel,Dodge,Ram 2500,11/3/1992,GD95,703005000000
VL20OV6422,327R1Z9FOLU592F4M,166SFO36MQEX54297,cng,Dodge,Caravan,23/09/2004,QT58,720228000000
GP85HI5618,2OEAIF3SP84V62CW6,582HUQ90HFWT52617,petrol,Dodge,Avenger,28/08/1955,HT91,728524000000
WT58NQ8921,DUQY2WFD9TJT93CKZ,805SNO36KHJM09331,elec,Dodge,Challenger,25/09/2018,VB55,773043000000
AK46TP8181,FTNG6ZQGBNBPG2C9J,459AMW34XCYW06562,petrol,Dodge,Viper RT/10,28/08/1947,CY81,795708000000
MP93YJ2631,L9C0601K9IFAB15VS,152XMO99FIYD15940,diesel,Dodge,Viper RT/10,25/06/1952,ID10,863508000000
XT10CQ2227,9EK86SZT87YMIWOOR,008AYA26YTPF88723,diesel,Dodge,Neon,7/8/2011,LB97,893438000000
IC33IO4134,7VNLEDURB35RXHF6J,995SAM30GKAI67832,cng,Dodge,Ram Wagon B150,24/01/2015,FL29,900524000000
GM96YT0981,T79PQACVLVXD19319,484YRA42GIQI99665,elec,Dodge,Ram Van 1500,1/6/1991,PN36,912308000000
PQ53RY4394,TM1P6TF61FYOGY3XX,022SST06LMZY22346,elec,Dodge,Ram 3500,29/05/1998,BE79,925779000000
MV34RC4619,DRVNPKW4DY9100BO1,710GAA72QHAW27255,petrol,Dodge,Ram 3500,27/01/2003,OJ91,927593000000
HJ01SY2366,JK35I1J26QLMLAR20,996CNL59LZSH74667,cng,Dodge,Ram Van B250,23/02/1987,KV78,961910000000
ML37WE8241,HTKKH9O7MV1PG1VSI,690GVR31PGOK68205,diesel,Dodge,D250 Club,23/01/1980,IL08,993855000000
RD21CY5033,BDH9BS9116M1KLCI0,646PYS97WFWA20072,diesel,Dodge,Viper,25/09/1993,GD17,997372000000
YH47AS8713,T1713N6D86L651CTP,270XYW11VUOE07473,diesel,Dodge,Durango,1/1/1959,NW31,999655000000
QS34SY1596,SLK5M8MY9I01XC0C4,933ISH47FXRO75905,cng,Eagle,Talon,4/2/1998,AF07,214646000000
IV93JZ7094,ZEMKWRUM7UO2MCSIA,396HJV41OTGG49912,diesel,Eagle,Summit,11/11/2009,TE96,665437000000
VZ07XO6148,YJQZ913EC5S883898,041OHR00FHIM42020,petrol,Eagle,Vision,26/09/1976,VS42,779351000000
KA48BA9068,FFQHII4VP96WYIHLP,600BPK93KFDT40044,petrol,Ford,Mustang,1/2/1960,IT70,106467000000
XB98DL9824,DYULOWPD8MGMMSMC0,638ZAE79TXMU16992,diesel,Ford,E-Series,23/04/2013,ZC88,121466000000
LM90CC3108,90EI9PQQTTOJQ97WY,404CYD52AEKN69233,cng,Ford,F-Series,3/1/1975,FE12,124254000000
ZO10XO5933,NY01KZPP9M4MJHHNZ,097SDV97ERKA04926,petrol,Ford,Bronco II,6/11/1976,OK69,124302000000
KP13LA6107,K9B25JBEJBHCY44T7,595CWB74MTPL29416,diesel,Ford,Mustang,19/04/1989,KK64,135223000000
KV30HS8389,L51P6GF52KMX0QYS1,876CSG82EDIC58622,diesel,Ford,Mustang,25/03/2003,BD14,136074000000
CA70KB6841,B3GRKW3Z9PEZKFTID,828LLE77RJRM89913,diesel,Ford,Bronco,15/02/1948,JY83,145483000000
CC15DD1798,IDPW77R5LDIGE0XLQ,057PAI13PYXN93057,elec,Ford,Focus,30/05/1998,TY95,164107000000
KV11OE9943,SEXRTQQ0Z6V8AYM0F,379YXJ93RBJY69897,petrol,Ford,Escape,10/4/1967,QF11,167048000000
PP66QI9317,W8HOMCT60AIEFAZI1,111ZOP98ZXPF03597,cng,Ford,Bronco II,8/2/1960,YQ36,168176000000
SL93LG6336,ZWULQGXS4KNHMBDNU,661KXC90NJAY98478,cng,Ford,Explorer,28/12/2002,WD98,171594000000
IW28FS6811,QJZ2ZGDMNG7F2ARQK,677CHQ43RHRW95630,petrol,Ford,F250,23/07/1945,UM43,174127000000
LX75DD5350,F478NTNXMPZQ1STMJ,097IKI69ZFQT39441,cng,Ford,F250,15/06/1986,SU48,192274000000
SU85EP0791,CGOCVE876C3Y04BTI,939HIK78FWFG67453,diesel,Ford,Club Wagon,2/7/1980,AL15,196278000000
RV67RO6091,5OVL1AXRSNWK2AY50,127JEG82WMFS03528,diesel,Ford,Probe,1/6/2003,HQ49,224657000000
MK96DA7562,LBB5LZI0YMED5ZU26,221PFB17HEOR72760,cng,Ford,Aerostar,21/11/2017,YN42,281258000000
DZ37IE3839,ZOMKUZAA6EG2ZMU2X,698SHK27NWAN58401,cng,Ford,Thunderbird,8/10/1960,LO77,282210000000
ME82LE7819,ZHVWGMIG420FSJONX,858VWZ05ZKAQ63638,diesel,Ford,Bronco,20/09/1987,YI51,284096000000
PK77NO6642,6UE4VPZZAS4BGATAS,190VTZ02IHMG28727,diesel,Ford,Thunderbird,21/09/1985,IJ26,307634000000
UK63AE7130,2GMPR4RBN5T36WN4Q,811VHD34KAUE90015,cng,Ford,E350,28/09/1970,FJ70,310690000000
OA94RB7077,BIDSAV2S2LYT2FA9V,860EUD00QAZL87566,elec,Ford,Explorer Sport Trac,11/4/2013,WN99,331533000000
HX22ME7719,JJXKNQVKKUP9G2YCQ,230ZYW48IRZL26065,elec,Ford,Escort,29/01/1993,QQ32,333205000000
LM55XF8363,D7C8KTWVU3T71787S,693INE40IGUM88789,diesel,Ford,Thunderbird,5/1/1978,VL19,351875000000
DE33VY2669,79WR2YNQSDQ72W5H7,298MNC50RKCY19707,petrol,Ford,Ranger,16/12/2018,BV34,355797000000
LE62YN6548,RBQI3D5RIYKYTLMXN,695BRM56XIXI97034,cng,Ford,Mustang,6/4/1987,VI04,363474000000
LI40IN3046,1DJRUR5T3L5F2EP90,263PIF90PVJJ24988,petrol,Ford,E-Series,10/12/1996,UM11,372474000000
OC63VR0836,V35TBK3SEZ5U3T588,349KDM38KZZD88972,petrol,Ford,F-Series Super Duty,25/09/1996,OK62,384062000000
ES40JY7566,WKZP4QAR6IW4ZOGYM,580DJK97RRUO75038,elec,Ford,Thunderbird,1/11/1955,ZC13,392397000000
XD72ZD2571,HLQYRM62FPBWHE5KI,391VSK00LJES97156,cng,Ford,Model T,8/10/2002,QZ13,403874000000
CE75JT4505,5LLV5TU3BOUI4J62I,997VAR54KNFC79246,elec,Ford,Bronco,24/08/1973,TJ35,407939000000
BC37RS0745,MKD2STLLBFKZU8QMA,450XHW74TBNO18218,petrol,Ford,F350,1/12/2017,PH76,408543000000
BD35BL6297,IF991W80YVGFGFHUS,284WYQ41IINA12782,elec,Ford,Bronco,14/06/1973,AS36,417227000000
DR71JE3920,UCZP60G3ILT2DH5HM,566MZV21TTGF23393,diesel,Ford,Five Hundred,24/05/1961,GO78,418684000000
JS97TJ4273,ICLHRIDN9YKKHANT2,567QSR79YYUU11727,petrol,Ford,Tempo,17/02/1980,IL79,436742000000
SM33AV6563,XWEFFS2O2THILN2BG,655UVC37VKAZ97326,elec,Ford,Econoline E350,16/02/1976,BQ50,444591000000
IV55FN3186,OPX77SPYVQBVXN3KY,558JLW91TDUI90387,diesel,Ford,Mustang,14/10/1996,FC97,489141000000
NQ56SY0777,1F7D0BXGWTSMBS8T1,220ZWV75CTQL85249,cng,Ford,Explorer,6/4/1986,KG21,490623000000
QV67KF9621,3BL2RQJ5U1I4BHDTC,094BWY15FDOV37923,petrol,Ford,Taurus,10/1/1982,EN92,504689000000
FS86PM0824,IHM8UBJGUH0Y9CRFA,013SRA45UZFE46510,elec,Ford,F-Series,23/11/1994,SD63,510203000000
DX20XZ0293,WH6RU3AR9QPMQMKIX,656BRR07FEWK05594,elec,Ford,Mustang,15/10/1976,YQ03,523073000000
XR82CD7189,WAI31U8U0CCIYF8V2,936PTU02NMZG72266,elec,Ford,Club Wagon,24/09/1961,NS77,524397000000
NX02LC5248,KQ0JZH5ZDNKP946OA,227TWA46YORC50109,diesel,Ford,Transit Connect,13/10/1985,MD18,529232000000
RF81OG6340,LKEQIVDF60VNV5KBI,087RCI33BZQI36480,cng,Ford,F150,18/08/1956,ZE13,529266000000
GL68JK9769,ZXFBATT7RXT1ZA0VN,613XIS18RJMU01655,diesel,Ford,F150,10/4/1991,WV62,538210000000
SO45GU8263,HKGDXF9NSRAYQ7VKU,315APE48VLHC13766,elec,Ford,Club Wagon,14/03/1987,GU00,538802000000
EX49LP4531,VG8ISUOAWS3TS6EO3,730OKE26SSQG42176,cng,Ford,Mustang,10/6/1989,QL22,539561000000
KT76PG1404,S7229KNDJY5B7FA23,810EJT11ISLW90098,cng,Ford,Festiva,1/5/2012,TI39,565458000000
QA01PA3608,ROAILQ6H7XUNPNCTI,279XOU17LPRR61144,diesel,Ford,Focus,23/10/1975,FJ09,577221000000
PU12YF5067,BFX1YH3I24W52N2U8,350CML74WRQR24945,elec,Ford,Mustang,7/2/1947,SB34,622511000000
WO43DV0412,V79Q522BCRU2TNM56,380IPN67YXRR78411,cng,Ford,Thunderbird,17/07/2002,WP73,627119000000
OH12PV0643,NUJ2IXW8O616ZCZQG,934KVZ57EYVL98080,petrol,Ford,Explorer Sport Trac,3/5/2008,TV47,633517000000
XK67VI0716,PZJ7MDF9HPCNHKCRG,344UXK02HSPI22056,diesel,Ford,F250,4/12/1988,QL16,636166000000
QE38PG8641,BG39L1LMI2JKPRB7U,139YXQ28NSNM57108,elec,Ford,Econoline E350,2/8/1994,CC41,644840000000
DK83OZ4472,7QGZG5DOMULEH19XH,385KGL79LKAG37842,elec,Ford,LTD Crown Victoria,1/12/1940,QO17,649741000000
NX66ZA5280,IP0WU089BQ9MCIYNE,576ODV60LVIS00583,elec,Ford,Bronco,27/06/1993,PG72,651269000000
JG49BW6853,ZVTOUESOA7K7W1VK9,085NUL53JEFO69268,petrol,Ford,Transit Connect,19/07/1948,HM22,652952000000
LT76UQ9886,5GW9D5K91FODEJ9WT,315VJP77CWWJ71992,cng,Ford,Explorer,24/01/1981,DR40,654759000000
AH92JC1723,3VI4UIU424QCQMBPX,618DDU53HBZP47425,elec,Ford,Taurus,27/10/1946,KZ42,657808000000
HQ31KJ5553,ICXR9H546CQ16CT5N,738BUX33NYQZ23842,petrol,Ford,F-Series,25/11/1941,PL08,664256000000
DL98EV0996,3VF1DNSLQKJNRJ3E7,299CKR29EMYU71265,diesel,Ford,ZX2,5/7/2017,LH49,665285000000
AM46SR6993,CCU7TZR9NBM55FQZ9,139QSZ08UMXJ57166,cng,Ford,F250,17/01/1957,LK20,679336000000
GY74CV8706,18ZVL1LMIP871CETT,930UTF96SEVC15810,diesel,Ford,Expedition,13/12/2004,HY81,681761000000
ND36ZQ1380,B3D6IEXNB361GMYN6,563MGL44NLTT75709,diesel,Ford,Windstar,23/01/1997,FN18,683547000000
VA00IH2421,UVRN1QRNX0QU2MWSM,717RLC73PNBU15183,elec,Ford,Bronco,28/12/2009,ZN27,683791000000
AA42NI5697,ZLYXB828W7NA0AR91,632ZEA37BVEB55194,elec,Ford,Econoline E250,18/02/1979,WZ07,700233000000
FX58NO3477,J1QQHWIMZBL3U7AJ8,569VGI41KZQP66187,diesel,Ford,E-Series,13/06/1941,UD36,701376000000
NF36OH6829,B3A1Z83ECY4UJSAV2,433AUO69DARP58309,cng,Ford,Mustang,20/10/1969,XD90,703733000000
JQ44UK5566,GG0S1CQFYLVOTX03R,373QCW19USOY62916,diesel,Ford,Ranger,13/01/2000,TY02,705964000000
DA55JF6984,FTV8FB23BWO7LY0H4,384ZLU53ZFIL21345,petrol,Ford,Windstar,2/9/1948,FR56,724604000000
RI01CW5732,Q753T4TKJFIUQIGA0,079KIL16PTVH61302,petrol,Ford,Festiva,20/08/1996,UL15,725858000000
RG60CX0183,BB0HM5TSL4T8KW5ZY,193EDB04BETK49975,petrol,Ford,Festiva,19/02/1980,IY68,726759000000
HU72TH1694,AYXYCKDICUAE6864E,262JTD11TUHN48741,elec,Ford,Tempo,7/4/1978,HS45,736017000000
NV88IG9046,EX8XBCFAQOP8BD6JA,356SVG64BLKM37279,diesel,Ford,Windstar,1/8/1979,LF85,752856000000
CV76YU0969,8TVSJB4R63G6VASM8,524IEP49QVPX90101,cng,Ford,Aerostar,9/9/1952,CW15,754624000000
DC51RY9026,YS9ISA7YJJ4F1DQIU,115EJA33KGXA71673,elec,Ford,F250,12/12/2016,RA02,772270000000
ZY03RH5229,TF82QL65AONS3TYT0,788HAG08REWE91794,elec,Ford,Excursion,20/12/2012,CJ52,776430000000
PZ19VW8787,O7HFRHYF581KP49UJ,169SIA10ULWN46278,cng,Ford,Bronco,5/7/1961,XJ25,784859000000
AJ05RW2352,JZFJJTDPLPGINOSKL,877HNE47GXOP75464,petrol,Ford,Thunderbird,29/12/1947,QU47,799580000000
JT78ZW1912,AQK0YJNSBO1GTFDSI,256TYR12THEN02640,cng,Ford,Taurus,30/08/1976,QI00,811350000000
LO67BE3053,PJ93CJESZXI4DUV4W,486KEH13XWVQ64972,petrol,Ford,Focus,7/1/1968,LZ35,821867000000
ZZ75FX0998,AYRIF2TUQ8QSDU3PT,101THO61DEUO46684,cng,Ford,Fiesta,1/4/1985,OF89,825544000000
SE72XH4732,MB5WL0BBO6EW5QWHL,188MKU97WCCR10486,cng,Ford,E150,13/08/1996,BG97,829079000000
RV72LZ7332,RPGHP6E2F6BW8GLUD,722NJK05GVCD69223,cng,Ford,F450,10/1/1960,WT62,835414000000
ZK12GC9343,25GSXS5L8NUOK79QJ,004SRT57PSAW48447,elec,Ford,Aerostar,25/03/2000,EE55,841247000000
NL54TI4652,J1VVV2B9RVBYLSBMK,254FOT02IPQM41010,diesel,Ford,Thunderbird,3/5/1996,AZ25,857776000000
AW95SV0144,1GRG9PGIZSLB0WXXM,803AWH90SRPR13399,petrol,Ford,Mustang,26/09/2004,FS70,863659000000
PE68KB1494,FTY2EM38K624VUCKQ,396BBB92VERU59787,petrol,Ford,Mustang,24/07/1994,SP81,865834000000
XK44UE0959,YJ0YMSJ4OUA96WNB4,520SAM14AHNL45494,petrol,Ford,Ranger,4/9/1992,FM24,890084000000
GS32LF6129,YSDD18YX5JJ4DGTD4,175YUK93UTBV89151,petrol,Ford,Fiesta,2/8/1980,GV02,910509000000
PG22UX9837,F4DGOF9ITFS77IA88,174BGW02VJFU64888,elec,Ford,Explorer Sport Trac,28/04/1970,KV75,920028000000
UQ17YJ9175,DJIQNA9887XAVZTBS,799VMJ35XEDZ00462,diesel,Ford,Escape,1/9/1952,CP83,920217000000
EI26VL4234,FRLLJK4R5USPLVCU0,777IUX55LFDL52819,cng,Ford,Crown Victoria,21/03/2008,GN71,920818000000
SZ15ZP9294,PBIS3OFDVVGKW8NGI,930RLK94AXDE21298,cng,Ford,LTD Crown Victoria,3/10/2015,BB94,934300000000
HK74AX1636,7KWDI1NK56URSN897,911TLT80AFGS66005,elec,Ford,Taurus,19/08/2000,VW49,941238000000
GZ37XS4657,A72CNE1S7H3G3VL83,917PDU35LGHI49264,diesel,Ford,E150,28/02/1943,XW86,958375000000
VK86MX8273,VOYKY2S8KPJZ4663V,371ISV59AHJG08235,cng,Ford,Thunderbird,23/04/1943,HE10,975503000000
KI22VH0175,DKBMVP1H97UCZBC6A,342TPG08WUFQ13459,cng,Geo,Metro,23/07/2004,KX85,207287000000
OK53MS1716,KR1B9J1SSXK8XSITR,286LUK36QSJR44649,elec,Geo,Metro,22/11/1961,QX15,805488000000
EO43JM9606,4NCSXZ0QNK0WMCLDP,226XRI70VXVV67784,diesel,GMC,1500,12/5/1980,WL17,104934000000
SZ86BC4765,5I5AJBVS59GLCV4G2,454IDG31DSSD46401,diesel,GMC,Savana 2500,23/03/1977,VU14,126886000000
FX69GR3255,T2D8GYDUZNH332BMA,475MKW56CGRL61026,cng,GMC,1500,27/05/1959,XC38,138471000000
HA60CJ7096,O12EE9H1AI89QHX3L,576AWD52UMTD00514,elec,GMC,Sierra 2500,12/4/1952,HQ00,139115000000
TQ18PY6515,K9CAUBSD7DN8B3IYI,411BOF77RUXM70112,cng,GMC,Sierra 2500,18/08/1999,GW69,143418000000
AS47VL5233,OC4U2ZNTJKN3HPS81,309DAA43UGOU18524,diesel,GMC,Savana 3500,9/8/1964,EH31,149047000000
DH86MG0177,WRK2LUAJN4A2HM9SG,450MPE58JHIA65782,elec,GMC,Savana 1500,30/08/1984,VZ09,208724000000
NB57NB1766,X0XJJJOCWKYLP57YZ,129WCD76SBFC11332,elec,GMC,Sierra Hybrid,22/09/1984,RL31,272267000000
IS18WJ9778,UW0WLS7I7GHMLU4ZS,946ODT04RUDQ22921,petrol,GMC,Savana 1500,27/01/2012,RZ76,281634000000
FS71IT2498,6W7HJVMVFJUDSQSIL,693SAD71RYQO30556,petrol,GMC,Envoy,17/02/1951,DI23,320659000000
VK03NR4412,UVVLFVJU2QEO1DD9A,540KZA69MAVO51759,diesel,GMC,Terrain,4/12/2011,JR50,348185000000
NG98MX3742,O6TC3R0PT33TMQIKL,481XSG68FHQG58683,elec,GMC,Sonoma,25/11/1945,ZC37,377059000000
AS15FP5551,X21E2RBCTH0T4Z2Q7,432SDB68SYJA59814,petrol,GMC,Yukon XL 2500,22/09/1961,NA64,403368000000
IX82ZP8898,T104RVI88IVJB79OD,716MZT29YSDB04889,elec,GMC,1500,29/10/1993,LJ71,411042000000
TD40EW2152,E8RV9GYW9GZ3ADU1G,481OFY36EWYE20915,petrol,GMC,Safari,22/03/1981,WW81,492829000000
VF67YL9996,GV7QCNX3353VYY4A4,914JYN45MESB42906,petrol,GMC,Suburban 2500,29/08/2004,ZQ39,500150000000
ON46GT9995,YK6H1C8RPZTMI14QL,397WRG09RJHG03491,diesel,GMC,Yukon,4/12/1959,XS80,506667000000
QD41AI0852,RSSGJWVHHW0UUB77Z,843QYJ58KKDC62075,elec,GMC,Sonoma Club Coupe,11/2/1955,VG96,514888000000
JJ77LG4014,QJKDDU9PXS8DPV6IU,463DIE66FWAE33539,elec,GMC,Sonoma Club Coupe,31/10/1970,LY94,526440000000
NQ66RJ9467,1JXPVFF4PFI4BFIQ5,557UNL29LOJE24743,diesel,GMC,Yukon XL 2500,31/12/1972,VU18,551159000000
JU10HF7139,WXYM5EP9H0SX569YE,048VON80WYBH39171,cng,GMC,2500 Club Coupe,11/11/2013,CM53,580091000000
XI07ZM8755,NH4V4KE5W48BTBT3G,155VVC62PUWA23456,diesel,GMC,Savana 1500,9/4/1987,SO74,580907000000
DT69YK2578,XNB1TN0LXN09ZWWMY,309OML84GPWI70109,diesel,GMC,Rally Wagon 3500,28/07/1967,CR25,586472000000
HA03ZU9900,PLDH0OA7OWE3NT8F6,177SLP46RPTC15163,petrol,GMC,Sierra 1500,21/01/2000,JS65,601279000000
EO87PZ1790,NIUGZIESBPNDXLHYA,795PGB60TEAX15994,elec,GMC,Yukon,6/6/1944,DR43,632703000000
GQ98VU0083,IJUCWOJGM4NJ0II9P,850ZHV48QJVD94348,petrol,GMC,Suburban 2500,13/03/1945,IB36,636653000000
DY86VX3735,HKKKNBBU33SEHV1E9,270LOY95ULZT93864,elec,GMC,Sierra 3500,11/2/2009,LY21,645064000000
XG79KY0617,Z7HQ3IW8OVS2C0FUR,268GPZ30AIGR95007,elec,GMC,Yukon XL 2500,3/11/2019,WW24,654437000000
VN22GD8283,QYHXBGGV96CJC3SU6,275RZT60DRGI41367,elec,GMC,Sierra 3500,1/4/1960,QZ11,691977000000
IG27ZX7298,HPV9TNGBVOALJ1907,313JBO46OUMC56558,diesel,GMC,Canyon,28/10/2006,ZL70,703944000000
PD84ZB0056,0GH9EPDY5UZOZLDKJ,711MRF86SACO14633,diesel,GMC,Vandura 1500,28/02/1997,WR36,744625000000
ZK86DZ5209,GS1IPI3LX6DAQUPPT,594TKP14HVJX35110,elec,GMC,Canyon,11/8/1982,EP70,776535000000
FG55HE4438,VL56SDD5KWSVR7KJH,891QMZ18WVSB70944,cng,GMC,Vandura G3500,3/11/1980,OI04,790924000000
JZ80LB4325,LBHWVFEMVQJL0XS4A,172BHW41FKYS35045,diesel,GMC,Sonoma Club,2/3/1945,VA25,892037000000
OS27JA8602,VNYQ6D100ZZB3W1IN,517XLH38CHMU61914,elec,GMC,Acadia,7/6/1981,WZ80,898069000000
UG10KC8977,ZAI7IW2LVUYEQ959T,197NGR80HYJH77642,petrol,GMC,Yukon XL 1500,24/04/1965,YX72,926516000000
RG89BA7191,HHGEAJJ88IYRE22LE,728SZB10SCOW67073,cng,GMC,Savana 3500,19/12/1949,GR77,964421000000
QX13LT1278,VUHGR364UU7IKJDYZ,629ZPP02XHSN43677,elec,GMC,Yukon XL 2500,24/11/1979,ZB25,973181000000
BM63NZ1991,4WQR98E71FUMK304O,569XIP46PQSY24175,diesel,GMC,Yukon XL 1500,3/11/2017,JS27,979427000000
WX39VK7810,EQI2LQVZKVPIQMA7Z,574FIX93OJWK90630,elec,GMC,Yukon XL 1500,1/7/1951,XU47,993499000000
